cBlack1,    14, 14, 14
cBlack2,    20, 20, 20
cWhite,     215,215,215
cGray1,     175,175,175
cGray2,     61, 61, 61
cViolet1,   130,138,245
cViolet2,   153,153,153
cDkBlue1,   28, 10, 87
cDkBlue2,   35, 50, 112
cGPurple,   46, 18, 81
cGOrange,   192,93, 2
cLtBlue1,   86, 91, 202
cLtBlue2,   66, 78, 202
cLtBlue3,   44, 66, 202
cLtBlue4,   37, 57, 202
cLtBlue5,   9,  49, 202
cLtBlue6,   0,  40, 203
cLtBlue7,   0,  36, 203
cLtBlue8,   0,  34, 203
cFgBlue1,   38, 82, 178
cFgBlue2,   37, 75, 163
cFgBlue3,   37, 70, 152
cFgBlue4,   36, 64, 140
cFgBlue5,   35, 58, 128
cFgBlue6,   34, 52, 116
cFgBlue7,   34, 47, 105
cFgBlue8,   33, 43, 96
cFgBlue9,   33, 40, 90
cYellow,    205,185,0
cRed,       135,35, 15
cOrange1,   195,91, 0
cOrange2,   178,82, 0
cOrange3,   157,75, 19
cOrange4,   142,66, 26
cOrange5,   123,56, 36
cOrange6,   105,46, 46
cOrange7,   89, 42, 62
cOrange8,   71, 34, 64
